Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Leader_speed;Braking_deceleration;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min
1;16.0;22.0;0.5;5;80;5;Successful;Effective;collision;20.82;vtypeauto.1;vtypeauto.0;494.69;edge_0_0_0;0.0;-5.0;0.2;-5.8;0.32;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;;;;
2;16.0;22.0;0.5;8;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.32;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;;;;
3;16.0;22.0;0.5;10;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.32;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;;;;
4;16.0;22.0;0.5;5;100;5;Successful;Effective;collision;21.04;vtypeauto.1;vtypeauto.0;615.46;edge_0_0_0;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;0.51;-6.39;0.54;-6.28;;;;
5;16.0;22.0;0.5;8;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;0.51;-6.39;0.54;-6.28;;;;
6;16.0;22.0;0.5;10;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;0.51;-6.39;0.54;-6.28;;;;
7;16.0;22.0;0.5;5;80;6;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;484.75;edge_0_0_0;0.0;-6.0;0.2;-6.95;0.32;-7.45;0.38;-7.64;0.41;-7.63;0.43;-7.5;;;;
8;16.0;22.0;0.5;8;80;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.32;-7.45;0.38;-7.64;0.41;-7.63;0.43;-7.5;;;;
9;16.0;22.0;0.5;10;80;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.32;-7.45;0.38;-7.64;0.41;-7.63;0.43;-7.5;;;;
10;16.0;22.0;0.5;5;100;6;Successful;Effective;collision;20.05;vtypeauto.1;vtypeauto.0;599.71;edge_0_0_0;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;0.51;-7.65;0.54;-7.52;;;;
11;16.0;22.0;0.5;8;100;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;0.51;-7.65;0.54;-7.52;;;;
12;16.0;22.0;0.5;10;100;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;0.51;-7.65;0.54;-7.52;;;;
13;16.0;22.0;0.5;5;80;7;Successful;Effective;collision;19.51;vtypeauto.1;vtypeauto.0;478.82;edge_0_0_0;0.0;-7.0;0.2;-8.11;0.32;-8.69;0.38;-8.9;0.41;-8.89;0.43;-8.62;;;;
14;16.0;22.0;0.5;8;80;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.2;-8.11;0.32;-8.69;0.38;-8.9;0.41;-8.89;0.43;-8.62;;;;
15;16.0;22.0;0.5;10;80;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.2;-8.11;0.32;-8.69;0.38;-8.9;0.41;-8.89;0.43;-8.62;;;;
16;16.0;22.0;0.5;5;100;7;Successful;Effective;collision;19.59;vtypeauto.1;vtypeauto.0;591.06;edge_0_0_0;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;0.51;-8.91;0.54;-8.75;;;;
17;16.0;22.0;0.5;8;100;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;0.51;-8.91;0.54;-8.75;;;;
18;16.0;22.0;0.5;10;100;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;0.51;-8.91;0.54;-8.75;;;;
19;16.0;22.0;0.5;5;80;8;Successful;Effective;collision;19.23;vtypeauto.1;vtypeauto.0;474.66;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;;;;
