Column1;Ex ID;Start_time;End_time;Injected_value;Impact_status;Collision_state;Collision time;collider;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min
0;1;16.0;22.0;0.5;Effective;collision;19.44;vtypeauto.1;0.0;-7.0;0.16;-8.11;0.25;-8.68;0.3;-8.89
1;2;16.0;22.0;0.6;Effective;collision;19.15;vtypeauto.1;0.0;-7.0;0.16;-8.32;0.25;-9.0;0.3;-9.0
2;3;16.0;22.0;0.7;Effective;collision;18.98;vtypeauto.1;0.0;-7.0;0.16;-8.54;0.25;-9.0;0.3;-9.0
3;4;16.0;22.0;0.8;Effective;collision;18.87;vtypeauto.1;0.0;-7.0;0.16;-8.75;0.25;-9.0;0.3;-9.0
4;5;16.0;22.0;0.9;Effective;collision;18.79;vtypeauto.1;0.0;-7.0;0.16;-8.97;0.25;-9.0;0.3;-9.0
5;6;16.0;22.0;1.0;Effective;collision;18.74;vtypeauto.1;0.0;-7.0;0.16;-9.0;0.25;-9.0;0.3;-9.0
6;7;16.0;22.0;1.1;Effective;collision;18.71;vtypeauto.1;0.0;-7.0;0.16;-9.0;0.25;-9.0;0.3;-9.0
7;8;16.1;22.1;0.5;Effective;collision;19.44;vtypeauto.1;0.0;-7.0;0.16;-8.11;0.25;-8.68;0.3;-8.89
8;9;16.1;22.1;0.6;Effective;collision;19.15;vtypeauto.1;0.0;-7.0;0.16;-8.32;0.25;-9.0;0.3;-9.0
9;10;16.1;22.1;0.7;Effective;collision;18.98;vtypeauto.1;0.0;-7.0;0.16;-8.54;0.25;-9.0;0.3;-9.0
10;11;16.1;22.1;0.8;Effective;collision;18.87;vtypeauto.1;0.0;-7.0;0.16;-8.75;0.25;-9.0;0.3;-9.0
11;12;16.1;22.1;0.9;Effective;collision;18.79;vtypeauto.1;0.0;-7.0;0.16;-8.97;0.25;-9.0;0.3;-9.0
12;13;16.1;22.1;1.0;Effective;collision;18.74;vtypeauto.1;0.0;-7.0;0.16;-9.0;0.25;-9.0;0.3;-9.0
13;14;16.1;22.1;1.1;Effective;collision;18.71;vtypeauto.1;0.0;-7.0;0.16;-9.0;0.25;-9.0;0.3;-9.0
14;15;16.2;22.2;0.5;Effective;collision;19.44;vtypeauto.1;0.0;-7.0;0.16;-8.11;0.25;-8.68;0.3;-8.89
15;16;16.2;22.2;0.6;Effective;collision;19.15;vtypeauto.1;0.0;-7.0;0.16;-8.32;0.25;-9.0;0.3;-9.0
16;17;16.2;22.2;0.7;Effective;collision;18.98;vtypeauto.1;0.0;-7.0;0.16;-8.54;0.25;-9.0;0.3;-9.0
17;18;16.2;22.2;0.8;Effective;collision;18.87;vtypeauto.1;0.0;-7.0;0.16;-8.75;0.25;-9.0;0.3;-9.0
18;19;16.2;22.2;0.9;Effective;collision;18.79;vtypeauto.1;0.0;-7.0;0.16;-8.97;0.25;-9.0;0.3;-9.0
19;20;16.2;22.2;1.0;Effective;collision;18.74;vtypeauto.1;0.0;-7.0;0.16;-9.0;0.25;-9.0;0.3;-9.0
20;21;16.2;22.2;1.1;Effective;collision;18.71;vtypeauto.1;0.0;-7.0;0.16;-9.0;0.25;-9.0;0.3;-9.0
