Column1;Ex ID;Start_time;End_time;Injected_value;Impact_status;Collision_state;Collision time;collider;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min
0;1;16.0;22.0;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
1;2;16.0;22.0;0.6;Effective;collision;19.82;vtypeauto.1;0.0;-5.0;0.11;-5.94;0.17;-6.45;0.21;-6.63
2;3;16.0;22.0;0.7;Effective;collision;19.48;vtypeauto.1;0.0;-5.0;0.11;-6.1;0.17;-6.7;0.21;-6.93
3;4;16.0;22.0;0.8;Effective;collision;19.28;vtypeauto.1;0.0;-5.0;0.11;-6.25;0.17;-6.96;0.21;-7.24
4;5;16.0;22.0;0.9;Effective;collision;19.15;vtypeauto.1;0.0;-5.0;0.11;-6.41;0.17;-7.23;0.21;-7.57
5;6;16.0;22.0;1.0;Effective;collision;19.06;vtypeauto.1;0.0;-5.0;0.11;-6.57;0.17;-7.51;0.21;-7.92
6;7;16.0;22.0;1.1;Effective;collision;18.99;vtypeauto.1;0.0;-5.0;0.11;-6.73;0.17;-7.8;0.21;-8.08
7;8;16.1;22.1;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
8;9;16.1;22.1;0.6;Effective;collision;19.82;vtypeauto.1;0.0;-5.0;0.11;-5.94;0.17;-6.45;0.21;-6.63
9;10;16.1;22.1;0.7;Effective;collision;19.48;vtypeauto.1;0.0;-5.0;0.11;-6.1;0.17;-6.7;0.21;-6.93
10;11;16.1;22.1;0.8;Effective;collision;19.28;vtypeauto.1;0.0;-5.0;0.11;-6.25;0.17;-6.96;0.21;-7.24
11;12;16.1;22.1;0.9;Effective;collision;19.15;vtypeauto.1;0.0;-5.0;0.11;-6.41;0.17;-7.23;0.21;-7.57
12;13;16.1;22.1;1.0;Effective;collision;19.06;vtypeauto.1;0.0;-5.0;0.11;-6.57;0.17;-7.51;0.21;-7.92
13;14;16.1;22.1;1.1;Effective;collision;18.99;vtypeauto.1;0.0;-5.0;0.11;-6.73;0.17;-7.8;0.21;-8.31
14;15;16.2;22.2;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
